step,parameter,loss,lr,weight_norm,update_norm,update_to_weight_ratio
1,net.0.weight,0.42490994930267334,3.3333333333333335e-05,26.1326961517334,0.023009436205029488,0.0008804845880207143
1,net.0.bias,0.42490994930267334,3.3333333333333335e-05,1.607702374458313,0.001487436005845666,0.0009251936362579742
1,net.2.weight,0.42490994930267334,3.3333333333333335e-05,26.119932174682617,0.06640329957008362,0.0025422462480376054
1,net.2.bias,0.42490994930267334,3.3333333333333335e-05,0.5763291120529175,0.0015006951289251447,0.0026038856922906118
1,net.4.weight,0.42490994930267334,3.3333333333333335e-05,26.131328582763672,0.0659395232796669,0.0025233896191241066
1,net.4.bias,0.42490994930267334,3.3333333333333335e-05,0.5675163269042969,0.0015064168255776167,0.0026544026209692666
1,net.6.weight,0.42490994930267334,3.3333333333333335e-05,26.140071868896484,0.06617093831300735,0.002531398484475582
1,net.6.bias,0.42490994930267334,3.3333333333333335e-05,0.5771995186805725,0.0015075529227033257,0.002611840228400501
1,net.8.weight,0.42490994930267334,3.3333333333333335e-05,26.121145248413086,0.06690721213817596,0.0025614195511676776
1,net.8.bias,0.42490994930267334,3.3333333333333335e-05,0.5708373785018921,0.0015083416365087032,0.0026423315874429965
1,net.10.weight,0.42490994930267334,3.3333333333333335e-05,4.614759922027588,0.012045427225530148,0.0026101958561341033
1,net.10.bias,0.42490994930267334,3.3333333333333335e-05,0.10501526296138763,0.00026666998746804893,0.002539345043263845
2,net.0.weight,0.4255199432373047,6.666666666666667e-05,26.132911682128906,0.03585335984826088,0.0013719619261859496
2,net.0.bias,0.4255199432373047,6.666666666666667e-05,1.6076481342315674,0.002752315951511264,0.0017120138996253873
2,net.2.weight,0.4255199432373047,6.666666666666667e-05,26.12004852294922,0.1187019795179367,0.004544477756756251
2,net.2.bias,0.4255199432373047,6.666666666666667e-05,0.5763219594955444,0.0028239728417247534,0.004899991741068797
2,net.4.weight,0.4255199432373047,6.666666666666667e-05,26.131460189819336,0.11456818133592606,0.004384300781651733
2,net.4.bias,0.4255199432373047,6.666666666666667e-05,0.5675122141838074,0.0028570734430104494,0.005034382294519379
2,net.6.weight,0.4255199432373047,6.666666666666667e-05,26.14020538330078,0.11615470051765442,0.004443526698220124
2,net.6.bias,0.4255199432373047,6.666666666666667e-05,0.5772308707237244,0.002882228698581457,0.0049931991595802165
2,net.8.weight,0.4255199432373047,6.666666666666667e-05,26.1212215423584,0.12255851179361343,0.004691913492440294
2,net.8.bias,0.4255199432373047,6.666666666666667e-05,0.5707892179489136,0.0028955962043255568,0.0050729693436233
2,net.10.weight,0.4255199432373047,6.666666666666667e-05,4.6146697998046875,0.022748716175556183,0.004929651992980951
2,net.10.bias,0.4255199432373047,6.666666666666667e-05,0.10499942302703857,0.0005137643311172724,0.00489302051674105
3,net.0.weight,0.43622177839279175,0.0001,26.134403228759766,0.047513704746961594,0.0018180520263296022
3,net.0.bias,0.43622177839279175,0.0001,1.60758638381958,0.0038471899461001158,0.002393146635740532
3,net.2.weight,0.43622177839279175,0.0001,26.12082862854004,0.16891738772392273,0.0064667698764870295
3,net.2.bias,0.43622177839279175,0.0001,0.5763338208198547,0.0040260679088532925,0.0069856526953876695
3,net.4.weight,0.43622177839279175,0.0001,26.132251739501953,0.1613418459892273,0.00617405065577798
3,net.4.bias,0.43622177839279175,0.0001,0.5675633549690247,0.004111889284104109,0.007244811082506409
3,net.6.weight,0.43622177839279175,0.0001,26.140995025634766,0.16364207863807678,0.006259978951742414
3,net.6.bias,0.43622177839279175,0.0001,0.5773944854736328,0.004191202111542225,0.007258819086407121
3,net.8.weight,0.43622177839279175,0.0001,26.12188148498535,0.17552350461483002,0.0067194051361009165
3,net.8.bias,0.43622177839279175,0.0001,0.5707302689552307,0.004290679004043341,0.007517875321205209
3,net.10.weight,0.43622177839279175,0.0001,4.614638805389404,0.033281952142715454,0.007212255074838294
3,net.10.bias,0.43622177839279175,0.0001,0.10495911538600922,0.0007701104623265564,0.007337242310916143
4,net.0.weight,0.4184383749961853,0.00013333333333333334,26.139352798461914,0.0590134933590889,0.0022576493692897156
4,net.0.bias,0.4184383749961853,0.00013333333333333334,1.6075307130813599,0.004910427611321211,0.003054639996214297
4,net.2.weight,0.4184383749961853,0.00013333333333333334,26.123205184936523,0.21858303248882294,0.008367389489206513
4,net.2.bias,0.4184383749961853,0.00013333333333333334,0.5764426589012146,0.005151644349098206,0.00893695889703584
4,net.4.weight,0.4184383749961853,0.00013333333333333334,26.134552001953125,0.2067432552576065,0.007910725052495864
4,net.4.bias,0.4184383749961853,0.00013333333333333334,0.5678312182426453,0.005309658125042915,0.00935076824672573
4,net.6.weight,0.4184383749961853,0.00013333333333333334,26.143278121948242,0.2085312455892563,0.007976476577135391
4,net.6.bias,0.4184383749961853,0.00013333333333333334,0.5779259204864502,0.005400944035500288,0.009345391587479275
4,net.8.weight,0.4184383749961853,0.00013333333333333334,26.124067306518555,0.22549955546855927,0.008631870099809915
4,net.8.bias,0.4184383749961853,0.00013333333333333334,0.570734977722168,0.00566688971593976,0.009929108845854519
4,net.10.weight,0.4184383749961853,0.00013333333333333334,4.614945411682129,0.04262009635567665,0.009235233042581493
4,net.10.bias,0.4184383749961853,0.00013333333333333334,0.10490676760673523,0.001011983142234385,0.00964650008117697
