schedule,peak_lr,eval_loss_at_200
cosine,0.0002,0.11302775563672185
cosine,0.0004,0.10237968573346734
cosine,0.0008,0.09576537413522601
cosine,0.0016,0.09294281667098403
cosine,0.0032,0.34259058348834515
wsd,0.0002,0.11074415920302272
wsd,0.0004,0.10236992267891765
wsd,0.0008,0.10149142052978277
wsd,0.0016,0.10747144278138876
wsd,0.0032,0.3426256235688925
