schedule,step,train_loss,lr
cosine,1,0.43235254287719727,5.333333333333333e-05
cosine,2,0.4322962164878845,0.00010666666666666667
cosine,3,0.434935599565506,0.00016
cosine,4,0.4094811677932739,0.00021333333333333333
cosine,5,0.40872102975845337,0.0002666666666666667
cosine,6,0.368354856967926,0.00032
cosine,7,0.3539295196533203,0.0003733333333333334
cosine,8,0.35178762674331665,0.00042666666666666667
cosine,9,0.34661999344825745,0.00048
cosine,10,0.3552957773208618,0.0005333333333333334
cosine,11,0.36185213923454285,0.0005866666666666667
cosine,12,0.3446758985519409,0.00064
cosine,13,0.347714900970459,0.0006933333333333333
cosine,14,0.35093364119529724,0.0007466666666666667
cosine,15,0.34405630826950073,0.0008
cosine,16,0.3450760245323181,0.0008533333333333333
cosine,17,0.33922693133354187,0.0009066666666666667
cosine,18,0.35175764560699463,0.00096
cosine,19,0.3354247808456421,0.0010133333333333333
cosine,20,0.33823925256729126,0.0010666666666666667
cosine,21,0.33472537994384766,0.00112
cosine,22,0.3336162567138672,0.0011733333333333333
cosine,23,0.321030855178833,0.0012266666666666667
cosine,24,0.3145827651023865,0.00128
cosine,25,0.31073498725891113,0.0013333333333333335
cosine,26,0.3074823021888733,0.0013866666666666667
cosine,27,0.40520668029785156,0.00144
cosine,28,0.32862013578414917,0.0014933333333333335
cosine,29,0.29757052659988403,0.0015466666666666667
cosine,30,0.30440807342529297,0.0016
cosine,31,0.3045133650302887,0.001599951261762709
cosine,32,0.293359637260437,0.0015998050536492124
cosine,33,0.2865821123123169,0.001599561395453749
cosine,34,0.28427815437316895,0.0015992203201637377
cosine,35,0.2824576795101166,0.0015987818739553134
cosine,36,0.2683582305908203,0.0015982461161870734
cosine,37,0.2795340418815613,0.0015976131193920443
cosine,38,0.254621684551239,0.001596882969267859
cosine,39,0.25177431106567383,0.0015960557646651568
cosine,40,0.24321064352989197,0.001595131617574199
cosine,41,0.24717438220977783,0.0015941106531097084
cosine,42,0.2340046763420105,0.0015929930094939308
cosine,43,0.2317640781402588,0.0015917788380379204
cosine,44,0.2268751859664917,0.0015904683031210572
cosine,45,0.22683119773864746,0.0015890615821687899
cosine,46,0.22183512151241302,0.0015875588656286176
cosine,47,0.21554026007652283,0.0015859603569443053
cosine,48,0.2166241705417633,0.0015842662725283401
cosine,49,0.2189711034297943,0.0015824768417326343
cosine,50,0.20781852304935455,0.0015805923068174731
cosine,51,0.20720411837100983,0.0015786129229187174
cosine,52,0.19818903505802155,0.001576538958013262
cosine,53,0.1989903748035431,0.001574370692882756
cosine,54,0.19970914721488953,0.0015721084210755896
cosine,55,0.19373241066932678,0.0015697524488671522
cosine,56,0.18675200641155243,0.0015673030952183672
cosine,57,0.18844643235206604,0.0015647606917325108
cosine,58,0.18443994224071503,0.0015621255826103171
cosine,59,0.1814998984336853,0.0015593981246033802
cosine,60,0.18236786127090454,0.001556578686965854
cosine,61,0.1797887086868286,0.0015536676514044628
cosine,62,0.17739254236221313,0.0015506654120268225
cosine,63,0.17092758417129517,0.001547572375288087
cosine,64,0.17106500267982483,0.0015443889599359186
cosine,65,0.16813158988952637,0.0015411155969537974
cosine,66,0.16761815547943115,0.0015377527295026725
cosine,67,0.1636185646057129,0.0015343008128609664
cosine,68,0.16445696353912354,0.001530760314362935
cosine,69,0.164072185754776,0.0015271317133354004
cosine,70,0.1603524088859558,0.0015234155010328569
cosine,71,0.161382794380188,0.0015196121805709632
cosine,72,0.15411780774593353,0.0015157222668584277
cosine,73,0.15562045574188232,0.001511746286527299
cosine,74,0.15183638036251068,0.001507684777861669
cosine,75,0.14892473816871643,0.001503538290724796
cosine,76,0.15193238854408264,0.0014993073864846634
cosine,77,0.14831140637397766,0.0014949926379379784
cosine,78,0.14889150857925415,0.0014905946292326268
cosine,79,0.14337262511253357,0.0014861139557885853
cosine,80,0.14610669016838074,0.0014815512242173142
cosine,81,0.14365166425704956,0.0014769070522396301
cosine,82,0.14236918091773987,0.001472182068602077
cosine,83,0.14381180703639984,0.001467376912991804
cosine,84,0.14222195744514465,0.0014624922359499622
cosine,85,0.1417715847492218,0.0014575286987836317
cosine,86,0.14095741510391235,0.0014524869734762905
cosine,87,0.13847069442272186,0.0014473677425968397
cosine,88,0.1379394829273224,0.0014421716992071947
cosine,89,0.13509061932563782,0.001436899546768454
cosine,90,0.1340039074420929,0.0014315519990456642
cosine,91,0.13303367793560028,0.0014261297800111858
cosine,92,0.1356123685836792,0.0014206336237466797
cosine,93,0.13319480419158936,0.001415064274343724
cosine,94,0.12981365621089935,0.0014094224858030768
cosine,95,0.13173925876617432,0.001403709021932595
cosine,96,0.13245661556720734,0.0013979246562438289
cosine,97,0.12842805683612823,0.0013920701718472988
